sku,height_in_inch,age_in_year,teeth,weight_in_kg,size,feedlot_in_month
BLF2342,52,2 Years,2,256,LARGE,3 Months
BLF2001,48.5,2 Years,2,256,MEDIUM,3 Months
BLF2002,51,2.5 Years,4,296,LARGE,3 Months
BLF2003,44,2 Years,2,212,MINIMUM,3 Months
BLF2004,43.5,2 Years,2,202,MINIMUM,3 Months
BLF2005,45,2 Years,2,205,MEDIUM,3 Months
BLF2006,48,2 Years,2,258,MEDIUM,3 Months
BLF2007,46,2 Years,2,240,MEDIUM,3 Months
BLF2008,43.2,2 Years,2,215,MINIMUM,3 Months
BLF2009,45,2 Years,2,226,MEDIUM,3 Months
BLF2010,47,2 Years,2,224,MEDIUM,3 Months
BLF2011,45.8,2.5 Years,4,245,MEDIUM,3 Months
BLF2012,47,2.5 Years,4,245,MEDIUM,3 Months
BLF2013,48,2 Years,2,255,MEDIUM,3 Months
BLF2014,42,2 Years,2,185,MINIMUM,3 Months
BLF2015,44,2 Years,2,200,MINIMUM,3 Months
BLF2016,44,2.5 Years,4,185,MINIMUM,3 Months
BLF2017,46,2 Years,2,210,MEDIUM,3 Months
BLF2018,45,2 Years,2,200,MEDIUM,3 Months
BLF2019,44.6,2 Years,2,250,MINIMUM,3 Months
BLF2020,45.2,2 Years,2,226,MEDIUM,3 Months
BLF2021,46,2.5 Years,4,211,MEDIUM,3 Months
BLF2022,49,2 Years,2,240,MEDIUM,3 Months
BLF2023,46.6,2 Years,2,225,MEDIUM,3 Months
BLF2024,47,2 Years,2,230,MEDIUM,3 Months
BLF2025,46,2 Years,2,205,MEDIUM,3 Months
BLF2026,44.5,2 Years,2,210,MINIMUM,3 Months
BLF2027,48.7,2 Years,2,265,MEDIUM,3 Months
BLF2028,49,2.5 Years,4,245,MEDIUM,3 Months
BLF2029,45.8,2.5 Years,4,225,MEDIUM,3 Months
BLF2031,46,2 Years,2,230,MEDIUM,3 Months
BLF2032,50,2 Years,2,250,MEDIUM,3 Months
BLF2033,41,2 Years,2,160,MINIMUM,3 Months
BLF2034,43.5,2 Years,2,210,MINIMUM,3 Months
BLF2035,47,2 Years,2,242,MEDIUM,3 Months
BLF2036,46,2.5 Years,4,230,MEDIUM,3 Months
BLF2037,45.6,2.5 Years,4,200,MEDIUM,3 Months
BLF2038,47.1,2 Years,2,235,MEDIUM,3 Months
BLF2039,44.3,2 Years,2,210,MINIMUM,3 Months
BLF2040,43.7,2 Years,2,200,MINIMUM,3 Months
